region,subregion,country,year,PISA,GDI,GINI,LibDem,Public Spending on Education,Private Spending on Education
Oceania,Australia and New Zealand,Australia,2000,528.0,0.967,,0.84,,
Oceania,Australia and New Zealand,Australia,2001,,0.958,33.5,0.839,,
Oceania,Australia and New Zealand,Australia,2002,,0.958,,0.834,,
Oceania,Australia and New Zealand,Australia,2003,525.0,0.959,33.5,0.834,,
Oceania,Australia and New Zealand,Australia,2004,,0.958,33.1,0.833,,
Oceania,Australia and New Zealand,Australia,2005,,0.959,,0.832,,
Oceania,Australia and New Zealand,Australia,2006,513.0,0.961,,0.832,,
Oceania,Australia and New Zealand,Australia,2007,,0.962,,0.836,,
Oceania,Australia and New Zealand,Australia,2008,,0.962,35.4,0.85,,
Oceania,Australia and New Zealand,Australia,2009,515.0,0.964,,0.85,,
Oceania,Australia and New Zealand,Australia,2010,,0.964,34.7,0.86,,
Oceania,Australia and New Zealand,Australia,2011,,0.966,,0.864,,
Oceania,Australia and New Zealand,Australia,2012,512.0,0.962,,0.864,,
Oceania,Australia and New Zealand,Australia,2013,,0.962,,0.823,,
Oceania,Australia and New Zealand,Australia,2014,,0.961,34.4,0.815,,
Oceania,Australia and New Zealand,Australia,2015,503.0,0.964,,0.829,,
Oceania,Australia and New Zealand,Australia,2016,,0.966,33.7,0.832,,
Oceania,Australia and New Zealand,Australia,2017,,0.967,,0.825,,
Oceania,Australia and New Zealand,Australia,2018,503.0,0.971,34.3,0.813,34.79288,34.79288
Oceania,Australia and New Zealand,Australia,2019,,0.971,,0.779,33.68129,33.68129
Oceania,Australia and New Zealand,Australia,2020,,0.972,,0.797,36.275318,36.275318
Oceania,Australia and New Zealand,Australia,2021,,0.972,,0.785,,
Oceania,Australia and New Zealand,Australia,2022,498.0,0.98,,0.8,,
Europe,Western Europe,Austria,2000,492.0,0.959,29.0,0.789,,
Europe,Western Europe,Austria,2001,,0.96,,0.789,,
Europe,Western Europe,Austria,2002,,0.962,,0.79,,
Europe,Western Europe,Austria,2003,491.0,0.961,29.5,0.791,,
Europe,Western Europe,Austria,2004,,0.961,29.8,0.789,,
Europe,Western Europe,Austria,2005,,0.964,28.7,0.788,,
Europe,Western Europe,Austria,2006,490.0,0.966,29.6,0.792,,
Europe,Western Europe,Austria,2007,,0.964,30.6,0.809,,
Europe,Western Europe,Austria,2008,,0.963,30.4,0.809,,
Europe,Western Europe,Austria,2009,470.0,0.965,31.5,0.809,,
Europe,Western Europe,Austria,2010,,0.975,30.3,0.805,,
Europe,Western Europe,Austria,2011,,0.975,30.8,0.806,,
Europe,Western Europe,Austria,2012,490.0,0.975,30.5,0.806,95.143448,95.143448
Europe,Western Europe,Austria,2013,,0.97,30.8,0.807,94.58402,94.58402
Europe,Western Europe,Austria,2014,,0.97,30.5,0.808,94.43082,94.43082
Europe,Western Europe,Austria,2015,485.0,0.969,30.5,0.808,93.76881,93.76881
Europe,Western Europe,Austria,2016,,0.973,30.8,0.781,93.57476,93.57476
Europe,Western Europe,Austria,2017,,0.971,29.7,0.785,91.09871,91.09871
Europe,Western Europe,Austria,2018,484.0,0.972,30.8,0.784,89.4591,89.4591
Europe,Western Europe,Austria,2019,,0.975,30.2,0.796,88.9847,88.9847
Europe,Western Europe,Austria,2020,,0.978,29.8,0.789,89.883797,89.883797
Europe,Western Europe,Austria,2021,,0.983,30.7,0.783,,
Europe,Western Europe,Austria,2022,480.0,0.982,,0.762,,
Europe,Western Europe,Belgium,2000,507.0,0.976,33.1,0.819,,
Europe,Western Europe,Belgium,2001,,0.969,,0.819,,
Europe,Western Europe,Belgium,2002,,0.968,,0.819,,
Europe,Western Europe,Belgium,2003,507.0,0.966,28.1,0.82,,
Europe,Western Europe,Belgium,2004,,0.968,30.5,0.801,,
Europe,Western Europe,Belgium,2005,,0.967,29.3,0.815,88.73288,88.73288
Europe,Western Europe,Belgium,2006,501.0,0.967,28.1,0.82,,
Europe,Western Europe,Belgium,2007,,0.965,29.2,0.833,,
Europe,Western Europe,Belgium,2008,,0.965,28.4,0.844,87.92018,87.92018
Europe,Western Europe,Belgium,2009,506.0,0.965,28.6,0.843,87.91188,87.91188
Europe,Western Europe,Belgium,2010,,0.968,28.4,0.839,87.71764,87.71764
Europe,Western Europe,Belgium,2011,,0.967,28.1,0.837,87.48977,87.48977
Europe,Western Europe,Belgium,2012,509.0,0.968,27.5,0.837,84.28478,84.28478
Europe,Western Europe,Belgium,2013,,0.967,27.7,0.845,84.29762,84.29762
Europe,Western Europe,Belgium,2014,,0.969,28.1,0.843,83.86056,83.86056
Europe,Western Europe,Belgium,2015,499.0,0.969,27.7,0.84,83.58294,83.58294
Europe,Western Europe,Belgium,2016,,0.971,27.6,0.838,82.698418,82.698418
Europe,Western Europe,Belgium,2017,,0.971,27.4,0.837,82.91347,82.91347
Europe,Western Europe,Belgium,2018,493.0,0.971,27.2,0.837,83.56802,83.56802
Europe,Western Europe,Belgium,2019,,0.973,27.2,0.84,84.12302,84.12302
Europe,Western Europe,Belgium,2020,,0.974,26.0,0.828,83.723373,83.723373
Europe,Western Europe,Belgium,2021,,0.978,26.6,0.829,,
Europe,Western Europe,Belgium,2022,479.0,0.981,,0.837,,
Americas,Northern America,Canada,2000,534.0,0.978,33.4,0.766,60.857,60.857
Americas,Northern America,Canada,2001,,0.979,33.6,0.76,,
Americas,Northern America,Canada,2002,,0.979,33.6,0.753,,
Americas,Northern America,Canada,2003,528.0,0.98,33.8,0.753,,
Americas,Northern America,Canada,2004,,0.98,33.8,0.758,,
Americas,Northern America,Canada,2005,,0.98,33.6,0.756,54.88274,54.88274
Americas,Northern America,Canada,2006,527.0,0.98,34.1,0.765,,
Americas,Northern America,Canada,2007,,0.981,33.8,0.766,,
Americas,Northern America,Canada,2008,,0.98,33.9,0.762,62.65391,62.65391
Americas,Northern America,Canada,2009,524.0,0.982,34.0,0.764,56.36401,56.36401
Americas,Northern America,Canada,2010,,0.981,33.6,0.763,57.15056,57.15056
Americas,Northern America,Canada,2011,,0.982,32.7,0.746,54.68584,54.68584
Americas,Northern America,Canada,2012,523.0,0.983,33.5,0.742,58.9617,58.9617
Americas,Northern America,Canada,2013,,0.984,33.8,0.746,56.42545,56.42545
Americas,Northern America,Canada,2014,,0.984,33.2,0.743,55.15824,55.15824
Americas,Northern America,Canada,2015,527.0,0.985,33.7,0.745,56.5753,56.5753
Americas,Northern America,Canada,2016,,0.985,32.7,0.765,53.262909,53.262909
Americas,Northern America,Canada,2017,,0.986,33.3,0.769,53.94815,53.94815
Americas,Northern America,Canada,2018,520.0,0.986,32.5,0.765,52.33773,52.33773
Americas,Northern America,Canada,2019,,0.987,31.7,0.768,53.68261,53.68261
Americas,Northern America,Canada,2020,,0.989,,0.75,51.033508,51.033508
Americas,Northern America,Canada,2021,,0.993,,0.756,,
Americas,Northern America,Canada,2022,507.0,0.997,,0.749,,
Americas,South America,Chile,2000,410.0,0.943,52.8,0.815,19.4713,19.4713
Americas,South America,Chile,2001,,0.938,,0.815,,
Americas,South America,Chile,2002,,0.94,,0.815,,
Americas,South America,Chile,2003,,0.946,51.5,0.815,,
Americas,South America,Chile,2004,,0.943,,0.815,,
Americas,South America,Chile,2005,,0.945,,0.822,15.46172,15.46172
Americas,South America,Chile,2006,442.0,0.949,47.7,0.839,,
Americas,South America,Chile,2007,,0.946,,0.842,,
Americas,South America,Chile,2008,,0.948,,0.841,14.42366,14.42366
Americas,South America,Chile,2009,449.0,0.954,47.4,0.835,14.63646,14.63646
Americas,South America,Chile,2010,,0.955,,0.838,23.41859,23.41859
Americas,South America,Chile,2011,,0.959,46.9,0.84,22.10917,22.10917
Americas,South America,Chile,2012,441.0,0.958,,0.846,24.19256,24.19256
Americas,South America,Chile,2013,,0.96,46.8,0.848,34.55607,34.55607
Americas,South America,Chile,2014,,0.961,,0.849,37.50436,37.50436
Americas,South America,Chile,2015,459.0,0.962,45.3,0.84,35.66116,35.66116
Americas,South America,Chile,2016,,0.962,,0.84,30.99275,30.99275
Americas,South America,Chile,2017,,0.968,45.3,0.842,37.78913,37.78913
Americas,South America,Chile,2018,452.0,0.967,,0.805,41.28828,41.28828
Americas,South America,Chile,2019,,0.968,,0.763,38.91064,38.91064
Americas,South America,Chile,2020,,0.97,47.0,0.765,39.71336,39.71336
Americas,South America,Chile,2021,,0.973,,0.777,,
Americas,South America,Chile,2022,448.0,0.974,43.0,0.779,,
Americas,South America,Colombia,2000,,0.996,58.4,0.426,,
Americas,South America,Colombia,2001,,0.976,57.3,0.425,,
Americas,South America,Colombia,2002,,0.996,56.0,0.422,,
Americas,South America,Colombia,2003,,0.991,53.6,0.432,,
Americas,South America,Colombia,2004,,0.99,55.0,0.433,,
Americas,South America,Colombia,2005,,0.988,53.9,0.439,,
Americas,South America,Colombia,2006,385.0,0.971,,0.453,,
Americas,South America,Colombia,2007,,0.993,,0.468,,
Americas,South America,Colombia,2008,,0.988,55.3,0.468,,
Americas,South America,Colombia,2009,413.0,0.993,54.3,0.472,45.97925,45.97925
Americas,South America,Colombia,2010,,0.993,54.6,0.501,,
Americas,South America,Colombia,2011,,0.992,53.5,0.542,46.6837,46.6837
Americas,South America,Colombia,2012,403.0,0.993,52.6,0.544,44.81377,44.81377
Americas,South America,Colombia,2013,,0.994,52.6,0.542,42.51165,42.51165
Americas,South America,Colombia,2014,,0.991,52.5,0.553,49.78496,49.78496
Americas,South America,Colombia,2015,425.0,0.992,51.0,0.557,45.63153,45.63153
Americas,South America,Colombia,2016,,0.992,50.6,0.557,36.050419,36.050419
Americas,South America,Colombia,2017,,0.993,49.7,0.554,48.73284,48.73284
Americas,South America,Colombia,2018,412.0,0.992,50.4,0.538,42.85741,42.85741
Americas,South America,Colombia,2019,,0.992,51.3,0.515,32.29518,32.29518
Americas,South America,Colombia,2020,,0.982,53.5,0.497,31.58688,31.58688
Americas,South America,Colombia,2021,,1.001,55.1,0.502,,
Americas,South America,Colombia,2022,409.0,0.993,54.8,0.559,,
Americas,Central America,Costa Rica,2000,,0.946,47.4,0.844,,
Americas,Central America,Costa Rica,2001,,0.968,51.5,0.844,,
Americas,Central America,Costa Rica,2002,,0.961,51.8,0.846,,
Americas,Central America,Costa Rica,2003,,0.961,49.3,0.846,,
Americas,Central America,Costa Rica,2004,,0.96,48.4,0.843,,
Americas,Central America,Costa Rica,2005,,0.971,47.5,0.841,,
Americas,Central America,Costa Rica,2006,,0.966,49.3,0.851,,
Americas,Central America,Costa Rica,2007,,0.967,49.3,0.855,,
Americas,Central America,Costa Rica,2008,,0.98,48.6,0.855,,
Americas,Central America,Costa Rica,2009,,0.961,50.6,0.855,,
Americas,Central America,Costa Rica,2010,,0.978,48.0,0.859,,
Americas,Central America,Costa Rica,2011,,0.977,48.8,0.861,,
Americas,Central America,Costa Rica,2012,441.0,0.98,48.4,0.859,,
Americas,Central America,Costa Rica,2013,,0.981,49.2,0.854,59.41935,59.41935
Americas,Central America,Costa Rica,2014,,0.979,48.6,0.856,,
Americas,Central America,Costa Rica,2015,427.0,0.987,48.4,0.854,,
Americas,Central America,Costa Rica,2016,,0.98,48.7,0.855,,
Americas,Central America,Costa Rica,2017,,0.985,48.3,0.852,,
Americas,Central America,Costa Rica,2018,426.0,0.988,48.0,0.836,,
Americas,Central America,Costa Rica,2019,,0.989,48.2,0.843,,
Americas,Central America,Costa Rica,2020,,0.998,49.2,0.848,91.03595,91.03595
Americas,Central America,Costa Rica,2021,,0.995,48.7,0.844,,
Americas,Central America,Costa Rica,2022,415.0,0.997,47.2,0.809,,
Europe,Eastern Europe,Czech Republic,2000,492.0,0.958,,0.804,83.99244,83.99244
Europe,Eastern Europe,Czech Republic,2001,,0.96,,0.804,,
Europe,Eastern Europe,Czech Republic,2002,,0.963,26.6,0.813,,
Europe,Eastern Europe,Czech Republic,2003,489.0,0.965,,0.822,,
Europe,Eastern Europe,Czech Republic,2004,,0.966,27.5,0.822,,
Europe,Eastern Europe,Czech Republic,2005,,0.967,26.9,0.823,80.70189,80.70189
Europe,Eastern Europe,Czech Republic,2006,483.0,0.969,26.7,0.828,,
Europe,Eastern Europe,Czech Republic,2007,,0.97,26.0,0.83,,
Europe,Eastern Europe,Czech Republic,2008,,0.971,26.3,0.83,77.55691,77.55691
Europe,Eastern Europe,Czech Republic,2009,478.0,0.974,26.2,0.821,78.37178,78.37178
Europe,Eastern Europe,Czech Republic,2010,,0.975,26.6,0.81,75.75015,75.75015
Europe,Eastern Europe,Czech Republic,2011,,0.975,26.4,0.814,79.92805,79.92805
Europe,Eastern Europe,Czech Republic,2012,493.0,0.977,26.1,0.819,67.99366,67.99366
Europe,Eastern Europe,Czech Republic,2013,,0.982,26.5,0.788,64.73061,64.73061
Europe,Eastern Europe,Czech Republic,2014,,0.982,25.9,0.776,63.82016,63.82016
Europe,Eastern Europe,Czech Republic,2015,487.0,0.983,25.9,0.776,65.38103,65.38103
Europe,Eastern Europe,Czech Republic,2016,,0.983,25.4,0.773,72.506088,72.506088
Europe,Eastern Europe,Czech Republic,2017,,0.984,24.9,0.741,72.9304,72.9304
Europe,Eastern Europe,Czech Republic,2018,490.0,0.98,25.0,0.717,76.23522,76.23522
Europe,Eastern Europe,Czech Republic,2019,,0.981,25.3,0.712,76.21867,76.21867
Europe,Eastern Europe,Czech Republic,2020,,0.982,26.2,0.719,75.010986,75.010986
Europe,Eastern Europe,Czech Republic,2021,,0.989,26.2,0.706,,
Europe,Eastern Europe,Czech Republic,2022,489.0,0.987,,0.789,,
Europe,Northern Europe,Denmark,2000,497.0,0.986,23.8,0.88,97.61373,97.61373
Europe,Northern Europe,Denmark,2001,,0.986,,0.881,,
Europe,Northern Europe,Denmark,2002,,0.987,,0.883,,
Europe,Northern Europe,Denmark,2003,492.0,0.989,25.6,0.883,,
Europe,Northern Europe,Denmark,2004,,0.992,24.9,0.883,,
Europe,Northern Europe,Denmark,2005,,0.991,25.2,0.896,96.70573,96.70573
Europe,Northern Europe,Denmark,2006,494.0,0.992,25.9,0.897,,
Europe,Northern Europe,Denmark,2007,,0.993,26.2,0.897,,
Europe,Northern Europe,Denmark,2008,,0.993,25.2,0.897,93.34492,93.34492
Europe,Northern Europe,Denmark,2009,495.0,0.997,26.7,0.897,92.97375,92.97375
Europe,Northern Europe,Denmark,2010,,0.994,27.2,0.897,92.26746,92.26746
Europe,Northern Europe,Denmark,2011,,0.985,27.3,0.896,91.78908,91.78908
Europe,Northern Europe,Denmark,2012,496.0,0.982,27.8,0.897,,
Europe,Northern Europe,Denmark,2013,,0.983,28.5,0.896,90.29342,90.29342
Europe,Northern Europe,Denmark,2014,,0.974,28.4,0.896,92.34969,92.34969
Europe,Northern Europe,Denmark,2015,500.0,0.98,28.2,0.896,,
Europe,Northern Europe,Denmark,2016,,0.982,28.2,0.894,88.1968,88.1968
Europe,Northern Europe,Denmark,2017,,0.983,28.7,0.893,86.01604,86.01604
Europe,Northern Europe,Denmark,2018,501.0,0.984,28.2,0.893,84.56728,84.56728
Europe,Northern Europe,Denmark,2019,,0.985,27.7,0.889,84.86734,84.86734
Europe,Northern Europe,Denmark,2020,,0.985,27.5,0.886,83.238228,83.238228
Europe,Northern Europe,Denmark,2021,,0.989,28.3,0.887,,
Europe,Northern Europe,Denmark,2022,489.0,0.991,,0.89,,
Europe,Northern Europe,Estonia,2000,,1.028,,0.806,,
Europe,Northern Europe,Estonia,2001,,1.035,,0.806,,
Europe,Northern Europe,Estonia,2002,,1.039,,0.807,,
Europe,Northern Europe,Estonia,2003,,1.035,37.2,0.811,,
Europe,Northern Europe,Estonia,2004,,1.035,33.6,0.813,,
Europe,Northern Europe,Estonia,2005,,1.032,33.4,0.813,67.94044,67.94044
Europe,Northern Europe,Estonia,2006,501.0,1.035,33.7,0.813,,
Europe,Northern Europe,Estonia,2007,,1.036,31.2,0.813,,
Europe,Northern Europe,Estonia,2008,,1.034,31.9,0.813,72.79056,72.79056
Europe,Northern Europe,Estonia,2009,501.0,1.032,31.4,0.814,104.3617,104.3617
Europe,Northern Europe,Estonia,2010,,1.028,32.0,0.832,66.31696,66.31696
Europe,Northern Europe,Estonia,2011,,1.024,32.5,0.831,68.69616,68.69616
Europe,Northern Europe,Estonia,2012,516.0,1.024,32.9,0.83,58.43132,58.43132
Europe,Northern Europe,Estonia,2013,,1.014,35.1,0.836,60.8913,60.8913
Europe,Northern Europe,Estonia,2014,,1.021,34.6,0.839,76.35246,76.35246
Europe,Northern Europe,Estonia,2015,519.0,1.024,32.7,0.847,70.94279,70.94279
Europe,Northern Europe,Estonia,2016,,1.021,31.2,0.862,80.647774,80.647774
Europe,Northern Europe,Estonia,2017,,1.025,30.4,0.861,72.39684,72.39684
Europe,Northern Europe,Estonia,2018,523.0,1.026,30.3,0.862,69.48003,69.48003
Europe,Northern Europe,Estonia,2019,,1.025,30.8,0.849,70.56115,70.56115
Europe,Northern Europe,Estonia,2020,,1.021,30.7,0.843,72.101807,72.101807
Europe,Northern Europe,Estonia,2021,,1.027,31.8,0.855,,
Europe,Northern Europe,Estonia,2022,511.0,1.025,,0.854,,
Europe,Northern Europe,Finland,2000,546.0,0.998,27.2,0.832,97.23907,97.23907
Europe,Northern Europe,Finland,2001,,0.997,,0.832,,
Europe,Northern Europe,Finland,2002,,0.995,,0.832,,
Europe,Northern Europe,Finland,2003,543.0,0.993,27.7,0.833,,
Europe,Northern Europe,Finland,2004,,1.0,27.9,0.834,,
Europe,Northern Europe,Finland,2005,,1.0,27.6,0.834,96.12998,96.12998
Europe,Northern Europe,Finland,2006,547.0,1.003,28.0,0.837,,
Europe,Northern Europe,Finland,2007,,1.004,28.3,0.842,,
Europe,Northern Europe,Finland,2008,,1.001,27.8,0.843,95.42854,95.42854
Europe,Northern Europe,Finland,2009,536.0,1.002,27.5,0.843,95.77046,95.77046
Europe,Northern Europe,Finland,2010,,1.003,27.7,0.843,95.94382,95.94382
Europe,Northern Europe,Finland,2011,,1.004,27.6,0.844,95.88282,95.88282
Europe,Northern Europe,Finland,2012,524.0,1.0,27.1,0.844,92.334213,92.334213
Europe,Northern Europe,Finland,2013,,0.989,27.2,0.856,92.16565,92.16565
Europe,Northern Europe,Finland,2014,,0.99,26.8,0.856,92.43954,92.43954
Europe,Northern Europe,Finland,2015,526.0,0.99,27.1,0.83,93.05753,93.05753
Europe,Northern Europe,Finland,2016,,0.99,27.1,0.829,92.478912,92.478912
Europe,Northern Europe,Finland,2017,,0.99,27.4,0.839,91.85652,91.85652
Europe,Northern Europe,Finland,2018,520.0,0.989,27.3,0.846,91.02246,91.02246
Europe,Northern Europe,Finland,2019,,0.988,27.7,0.842,90.44425,90.44425
Europe,Northern Europe,Finland,2020,,0.991,27.1,0.842,90.355453,90.355453
Europe,Northern Europe,Finland,2021,,0.989,27.7,0.836,,
Europe,Northern Europe,Finland,2022,490.0,0.994,,0.833,,
Europe,Western Europe,France,2000,505.0,0.982,32.6,0.8,,
Europe,Western Europe,France,2001,,0.982,32.5,0.8,,
Europe,Western Europe,France,2002,,0.982,31.8,0.798,,
Europe,Western Europe,France,2003,496.0,0.984,31.4,0.797,,
Europe,Western Europe,France,2004,,0.984,30.6,0.797,,
Europe,Western Europe,France,2005,,0.985,29.8,0.797,82.77357,82.77357
Europe,Western Europe,France,2006,488.0,0.986,29.7,0.797,,
Europe,Western Europe,France,2007,,0.987,32.4,0.805,,
Europe,Western Europe,France,2008,,0.986,33.0,0.814,80.56013,80.56013
Europe,Western Europe,France,2009,496.0,0.989,32.7,0.814,82.15907,82.15907
Europe,Western Europe,France,2010,,0.986,33.7,0.814,80.81947,80.81947
Europe,Western Europe,France,2011,,0.987,33.3,0.815,79.60076,79.60076
Europe,Western Europe,France,2012,505.0,0.986,33.1,0.818,78.505463,78.505463
Europe,Western Europe,France,2013,,0.985,32.5,0.82,77.55162,77.55162
Europe,Western Europe,France,2014,,0.986,32.3,0.82,77.25726,77.25726
Europe,Western Europe,France,2015,499.0,0.986,32.7,0.813,77.85095,77.85095
Europe,Western Europe,France,2016,,0.986,31.9,0.813,77.130211,77.130211
Europe,Western Europe,France,2017,,0.987,31.6,0.815,77.02515,77.02515
Europe,Western Europe,France,2018,493.0,0.987,32.4,0.797,76.54214,76.54214
Europe,Western Europe,France,2019,,0.988,31.2,0.793,75.26567,75.26567
Europe,Western Europe,France,2020,,0.991,30.7,0.789,72.556503,72.556503
Europe,Western Europe,France,2021,,0.988,31.5,0.788,,
Europe,Western Europe,France,2022,474.0,0.992,,0.808,,
Europe,Western Europe,Germany,2000,484.0,0.944,28.9,0.856,,
Europe,Western Europe,Germany,2001,,0.948,29.9,0.856,,
Europe,Western Europe,Germany,2002,,0.951,29.8,0.857,,
Europe,Western Europe,Germany,2003,491.0,0.955,29.8,0.857,,
Europe,Western Europe,Germany,2004,,0.958,30.2,0.857,,
Europe,Western Europe,Germany,2005,,0.946,31.7,0.861,85.47294,85.47294
Europe,Western Europe,Germany,2006,495.0,0.947,31.0,0.869,,
Europe,Western Europe,Germany,2007,,0.95,31.2,0.869,,
Europe,Western Europe,Germany,2008,,0.947,30.8,0.869,85.09049,85.09049
Europe,Western Europe,Germany,2009,497.0,0.949,30.5,0.863,,
Europe,Western Europe,Germany,2010,,0.949,30.2,0.862,84.64345,84.64345
Europe,Western Europe,Germany,2011,,0.953,30.6,0.867,85.14175,85.14175
Europe,Western Europe,Germany,2012,508.0,0.953,31.1,0.867,84.134842,84.134842
