date,country,rgdpmad,debtgdp,year,country_name,gov_revenue_gdp,gdp_growth,debt_change,debt_change_lag1,gdp_growth_lag1
1980,CAN,16175.706391578196,0.4563178663072744,1980,Canada,36.903,0.034391215048024115,0.003528166736459004,-0.027436897190213028,3.1246087879130524
1981,CAN,16472.449799196787,0.4693289035590574,1981,Canada,38.94,1.8345004566421297,0.013011037251782986,0.003528166736459004,0.034391215048024115
1982,CAN,15779.405521012304,0.5266845731086246,1982,Canada,39.501,-4.207293308723736,0.05735566954956722,0.013011037251782986,1.8345004566421297
1983,CAN,16076.413304368663,0.5840257224976494,1983,Canada,38.972,1.8822495116235904,0.05734114938902479,0.05735566954956722,-4.207293308723736
1984,CAN,16835.824728229152,0.6167393648520737,1984,Canada,38.819,4.7237615100012675,0.03271364235442431,0.05734114938902479,1.8822495116235904
1985,CAN,17582.068954883274,0.6686944356084424,1985,Canada,38.712,4.432477996773576,0.05195507075636874,0.03271364235442431,4.7237615100012675
1986,CAN,17862.103969653257,0.7099854407413845,1986,Canada,39.485,1.5927307274733682,0.04129100513294204,0.05195507075636874,4.432477996773576
1987,CAN,18348.154593083917,0.7144908373457096,1987,Canada,39.682,2.7211275013091063,0.00450539660432514,0.04129100513294204,1.5927307274733682
1988,CAN,18993.076728586937,0.7108355166126499,1988,Canada,40.251,3.514915531320595,-0.0036553207330597415,0.00450539660432514,2.7211275013091063
1989,CAN,19108.487068697887,0.7224708709375305,1989,Canada,40.535,0.6076442577481078,0.011635354324880609,-0.0036553207330597415,3.514915531320595
1990,CAN,18872.38850546588,0.7518991176916141,1990,Canada,42.179,-1.23556910802618,0.02942824675408362,0.011635354324880609,0.6076442577481078
1991,CAN,18262.46376863137,0.8233953487693455,1991,Canada,43.078,-3.231836482477357,0.0714962310777314,0.02942824675408362,-1.23556910802618
1992,CAN,18146.724685223868,0.902315555047967,1992,Canada,43.308,-0.6337539385364965,0.07892020627862151,0.0714962310777314,-3.231836482477357
1993,CAN,18309.1076884394,0.9632376399920792,1993,Canada,42.543,0.8948336740224772,0.06092208494411222,0.07892020627862151,-0.6337539385364965
1994,CAN,18941.768399849858,0.9796179137160076,1994,Canada,42.076,3.4554426254750137,0.016380273723928362,0.06092208494411222,0.8948336740224772
1995,CAN,19237.797708562295,1.016010098392697,1995,Canada,42.245,1.5628388145363603,0.036392184676689365,0.016380273723928362,3.4554426254750137
1996,CAN,19330.596623229223,1.0171927577240745,1996,Canada,42.811,0.4823780563282698,0.0011826593313775113,0.036392184676689365,1.5628388145363603
1997,CAN,19961.8228974183,0.9631791266441836,1997,Canada,43.502,3.265425721162396,-0.05401363107989088,0.0011826593313775113,0.4823780563282698
1998,CAN,20612.3873465468,0.951645567683418,1998,Canada,43.549,3.2590432871370645,-0.011533558960765578,-0.05401363107989088,3.265425721162396
1999,CAN,21563.04067519223,0.9136915092102222,1999,Canada,43.429,4.61204863203144,-0.03795405847319577,-0.011533558960765578,3.2590432871370645
2000,CAN,22487.70818622514,0.8212687062792537,2000,Canada,43.197,4.288205568784731,-0.0924228029309685,-0.03795405847319577,4.61204863203144
2001,CAN,22686.64558523288,0.8265914473019219,2001,Canada,41.632,0.8846495043438818,0.005322741022668165,-0.0924228029309685,4.288205568784731
2002,CAN,23155.136569813305,0.8055399187270418,2002,Canada,40.16,2.0650518068893176,-0.02105152857488013,0.005322741022668165,0.8846495043438818
2003,CAN,23406.980270190852,0.7656183155768953,2003,Canada,40.149,1.087636428393468,-0.03992160315014648,-0.02105152857488013,2.0650518068893176
2004,CAN,23952.908626048553,0.7260071608622163,2004,Canada,39.902,2.3323314223191227,-0.03961115471467902,-0.03992160315014648,1.087636428393468
2005,CAN,24484.344653524106,0.7160815084671124,2005,Canada,40.074,2.218670123834654,-0.009925652395103901,-0.03961115471467902,2.3323314223191227
2006,CAN,24967.16720744424,0.7025527352704934,2006,Canada,40.488,1.9719643745933046,-0.013528773196618937,-0.009925652395103901,2.218670123834654
2007,CAN,25300.08385970836,0.6651826078770181,2007,Canada,40.339,1.3334178022601506,-0.03737012739347534,-0.013528773196618937,1.9719643745933046
2008,CAN,25262.071135439153,0.7111408254117143,2008,Canada,38.96,-0.15024742400061575,0.0459582175346962,-0.03737012739347534,1.3334178022601506
2009,CAN,24361.021416833475,0.8330140583458961,2009,Canada,39.539,-3.5668085715332754,0.12187323293418184,0.0459582175346962,-0.15024742400061575
2010,CAN,24941.23562562982,0.8395317516594774,2010,Canada,38.326,2.3817318611912386,0.006517693313581208,0.12187323293418184,-3.5668085715332754
2011,CAN,25470.997020197392,0.8177793009605633,2011,Canada,38.267,2.12403828951917,-0.021752450698914072,0.006517693313581208,2.3817318611912386
2012,CAN,25645.574336158857,0.8540521814513018,2012,Canada,38.402,0.685396475933131,0.03627288049073851,-0.021752450698914072,2.12403828951917
2013,CAN,25966.337119654458,0.8612908838862671,2013,Canada,38.466,1.2507529731683231,0.007238702434965272,0.03627288049073851,0.685396475933131
2014,CAN,26441.103335942946,0.8557941308277416,2014,Canada,38.545,1.8283911746995285,-0.005496753058525483,0.007238702434965272,1.2507529731683231
2015,CAN,26402.305924722383,0.911923036151285,2015,Canada,39.957,-0.14673143827482749,0.05612890532354342,-0.005496753058525483,1.8283911746995285
2016,CAN,26389.803801027017,0.9173260397870192,2016,Canada,40.3,-0.047352393124344694,0.005403003635734205,0.05612890532354342,-0.14673143827482749
2017,CAN,26862.50104274103,0.8884123961000466,2017,Canada,40.343,1.7912116561306757,-0.02891364368697258,0.005403003635734205,-0.047352393124344694
2018,CAN,27137.2663834969,0.8883185847054099,2018,Canada,41.022,1.0228583716709316,-9.38113946367114e-05,-0.02891364368697258,1.7912116561306757
2019,CAN,27251.07653688964,0.8682055574212624,2019,Canada,40.572,0.41938694850249814,-0.020113027284147544,-9.38113946367114e-05,1.0228583716709316
2020,CAN,25505.010962201755,1.17459527734755,2020,Canada,41.413,-6.407326963117377,0.3063897199262877,-0.020113027284147544,0.41938694850249814
1991,DEU,16649.52350172438,0.44,1991,Germany,43.328,4.5243606629301825,0.030000000000000027,0.019999999999999962,-3.8004063081987005
1992,DEU,16890.560511864,0.411883,1992,Germany,44.721,1.4477111619119798,-0.028117000000000003,0.030000000000000027,4.5243606629301825
1993,DEU,16644.680242702154,0.448943,1993,Germany,45.211,-1.4557259304043835,0.03705999999999998,-0.028117000000000003,1.4477111619119798
1994,DEU,17027.786172939646,0.4729399999999999,1994,Germany,45.771,2.301671913495995,0.023996999999999935,0.03705999999999998,-1.4557259304043835
1995,DEU,17298.81910831468,0.5490240000000001,1995,Germany,45.804,1.5917097655698598,0.07608400000000015,0.023996999999999935,2.301671913495995
1996,DEU,17420.220809056824,0.577939,1996,Germany,45.918,0.7017918389804478,0.028914999999999913,0.07608400000000015,1.5917097655698598
1997,DEU,17708.525215602687,0.588666,1997,Germany,45.726,1.6549985772624343,0.010727000000000042,0.028914999999999913,0.7017918389804478
1998,DEU,18028.880735795392,0.5953470000000001,1998,Germany,45.641,1.8090468646730917,0.006681000000000048,0.010727000000000042,1.6549985772624343
1999,DEU,18380.04362314571,0.601394,1999,Germany,46.62,1.9477797457115642,0.0060469999999999136,0.006681000000000048,1.8090468646730917
2000,DEU,18943.516375383148,0.590658,2000,Germany,46.342,3.0656769036601528,-0.010735999999999968,0.0060469999999999136,1.9477797457115642
2001,DEU,19156.68989625507,0.579365,2001,Germany,44.528,1.125311249757921,-0.011292999999999997,-0.010735999999999968,3.0656769036601528
2002,DEU,19140.37834615822,0.597035,2002,Germany,44.158,-0.08514806151368459,0.017669999999999964,-0.011292999999999997,1.125311249757921
2003,DEU,19087.572240241872,0.633089,2003,Germany,44.684,-0.275888516733247,0.03605400000000003,0.017669999999999964,-0.08514806151368459
2004,DEU,19283.670487293424,0.649877,2004,Germany,43.551,1.0273608638301512,0.016788000000000025,0.03605400000000003,-0.275888516733247
2005,DEU,19417.057021603057,0.6734650000000001,2005,Germany,43.496,0.6917071850897072,0.023588000000000053,0.016788000000000025,1.0273608638301512
2006,DEU,20040.620318052523,0.6670470000000001,2006,Germany,43.554,3.2114202258133107,-0.006418000000000035,0.023588000000000053,0.6917071850897072
2007,DEU,20546.93610742278,0.639942,2007,Germany,43.695,2.526447691412881,-0.027105000000000046,-0.006418000000000035,3.2114202258133107
2008,DEU,20801.437443847575,0.655222,2008,Germany,44.155,1.2386339992211948,0.01527999999999996,-0.027105000000000046,2.526447691412881
2009,DEU,19789.8454371839,0.729901,2009,Germany,45.117,-4.863087031338176,0.07467900000000005,0.01527999999999996,1.2386339992211948
2010,DEU,20661.4454356808,0.8238160000000001,2010,Germany,43.695,4.404278958436003,0.09391500000000008,0.07467900000000005,-4.863087031338176
2011,DEU,21432.681417956832,0.79801,2011,Germany,44.435,3.7327300487126847,-0.025806000000000107,0.09391500000000008,4.404278958436003
2012,DEU,21483.78039850607,0.811354,2012,Germany,45.029,0.2384161811243457,0.013344000000000023,-0.025806000000000107,3.7327300487126847
2013,DEU,21517.887790133365,0.787169,2013,Germany,45.273,0.15875879847322416,-0.024185000000000012,0.013344000000000023,0.2384161811243457
2014,DEU,21903.314593546904,0.756694,2014,Germany,45.229,1.7911925518557137,-0.03047500000000003,-0.024185000000000012,0.15875879847322416
2015,DEU,22037.585410165313,0.72207,2015,Germany,45.421,0.6130159709159644,-0.03462399999999999,-0.03047500000000003,1.7911925518557137
2016,DEU,22347.948539301786,0.6927679999999999,2016,Germany,45.852,1.4083354567207218,-0.02930200000000005,-0.03462399999999999,0.6130159709159644
2017,DEU,22861.229874936176,0.6465770000000001,2017,Germany,45.904,2.296771601794756,-0.04619099999999987,-0.02930200000000005,1.4083354567207218
2018,DEU,23040.320451191405,0.612715,2018,Germany,46.573,0.783381197052635,-0.03386200000000006,-0.04619099999999987,2.296771601794756
2019,DEU,23229.87496788937,0.5892499999999999,2019,Germany,46.892,0.8227078138931088,-0.02346500000000007,-0.03386200000000006,0.783381197052635
2020,DEU,22152.35037955646,0.687242,2020,Germany,46.749,-4.638529436005867,0.09799200000000008,-0.02346500000000007,0.8227078138931088
1980,FRA,14766.158591907097,0.210245,1980,France,47.613,0.9004552756127548,0.012045,0.02579999999999999,2.768017564247338
1981,FRA,14839.906857524504,0.222404,1981,France,48.23,0.49944110486410676,0.012159000000000003,0.012045,0.9004552756127548
1982,FRA,15131.64084241521,0.255791,1982,France,49.169,1.9658747705871615,0.033387,0.012159000000000003,0.49944110486410676
1983,FRA,15245.114341397128,0.269219,1983,France,50.008,0.74990875189056,0.013427999999999995,0.033387,1.9658747705871615
1984,FRA,15381.929381644915,0.29345,1984,France,50.806,0.8974353172037208,0.024231000000000003,0.013427999999999995,0.74990875189056
1985,FRA,15530.27084439724,0.309588,1985,France,51.179,0.9643878805563944,0.016137999999999986,0.024231000000000003,0.8974353172037208
1986,FRA,15833.036579991183,0.315277,1986,France,50.177,1.9495199963184717,0.005689,0.016137999999999986,0.9643878805563944
1987,FRA,16157.8901191458,0.338425,1987,France,50.764,2.0517450175359775,0.023148000000000002,0.005689,1.9495199963184717
1988,FRA,16789.572963059996,0.337152,1988,France,49.447,3.9094389134736174,-0.0012729999999999686,0.023148000000000002,2.0517450175359775
1989,FRA,17299.70080074713,0.34435,1989,France,49.084,3.0383610042346243,0.007197999999999982,-0.0012729999999999686,3.9094389134736174
1990,FRA,17647.005226241236,0.355535,1990,France,49.156,2.0075747522703136,0.011185,0.007197999999999982,3.0383610042346243
1991,FRA,17724.135385347323,0.363396,1991,France,49.836,0.4370722290680584,0.007861000000000007,0.011185,2.0075747522703136
1992,FRA,17879.522485037523,0.400874,1992,France,49.368,0.8766977700850775,0.03747800000000001,0.007861000000000007,0.4370722290680584
1993,FRA,17666.018468576247,0.464885,1993,France,50.14,-1.1941259429045004,0.06401099999999998,0.03747800000000001,0.8766977700850775
1994,FRA,17978.199665246746,0.497684,1994,France,50.424,1.7671282141236144,0.03279900000000002,0.06401099999999998,-1.1941259429045004
1995,FRA,18261.961310969225,0.561059,1995,France,50.942,1.5783651923224173,0.06337499999999996,0.03279900000000002,1.7671282141236144
1996,FRA,18373.417686711593,0.599984,1996,France,52.121,0.6103198547213085,0.03892499999999999,0.06337499999999996,1.5783651923224173
1997,FRA,18690.444261468547,0.61425,1997,France,51.857,1.7254632761450894,0.014266000000000001,0.03892499999999999,0.6103198547213085
1998,FRA,19233.28587051337,0.613474,1998,France,51.587,2.9043804494466974,-0.0007759999999999989,0.014266000000000001,1.7254632761450894
1999,FRA,19771.39216905727,0.604965,1999,France,52.112,2.7977866193361844,-0.008508999999999989,-0.0007759999999999989,2.9043804494466974
2000,FRA,20391.877068945985,0.588824,2000,France,51.306,3.1382964567350458,-0.01614099999999996,-0.008508999999999989,2.7977866193361844
2001,FRA,20648.034421101213,0.583439,2001,France,51.405,1.256173481671885,-0.005384999999999973,-0.01614099999999996,3.1382964567350458
2002,FRA,20719.525661469477,0.60258,2002,France,50.749,0.3462375106039417,0.019140999999999964,-0.005384999999999973,1.256173481671885
2003,FRA,20789.046927320785,0.644127,2003,France,50.266,0.3355350261738499,0.041547,0.019140999999999964,0.3462375106039417
2004,FRA,21193.399751471257,0.659391,2004,France,50.445,1.9450281947224646,0.015263999999999944,0.041547,0.3355350261738499
2005,FRA,21450.00068291843,0.6738299999999999,2005,France,50.756,1.2107587006155551,0.01443899999999998,0.015263999999999944,1.9450281947224646
2006,FRA,21841.591885557165,0.646108,2006,France,51.092,1.8255999541789025,-0.027721999999999913,0.01443899999999998,1.2107587006155551
2007,FRA,22202.17253075663,0.645355,2007,France,50.641,1.6508899492710505,-0.0007530000000000037,-0.027721999999999913,1.8255999541789025
2008,FRA,22057.35045104924,0.687783,2008,France,50.78,-0.6522878763633111,0.04242800000000002,-0.0007530000000000037,1.6508899492710505
2009,FRA,21244.207306860604,0.830389,2009,France,50.612,-3.686495102814824,0.142606,0.04242800000000002,-0.6522878763633111
2010,FRA,21477.47740245256,0.852569,2010,France,50.559,1.0980409493397625,0.022179999999999978,0.142606,-3.686495102814824
2011,FRA,21842.23668701559,0.878344,2011,France,51.709,1.698333923151396,0.025774999999999992,0.022179999999999978,1.0980409493397625
2012,FRA,21818.118066179795,0.90604,2012,France,52.721,-0.11042193700854241,0.027695999999999943,0.025774999999999992,1.698333923151396
2013,FRA,21841.280960321223,0.934132,2013,France,53.654,0.1061635750213119,0.028092000000000006,0.027695999999999943,-0.11042193700854241
2014,FRA,21940.470687708923,0.948887,2014,France,53.82,0.4541387822806664,0.014755000000000074,0.028092000000000006,0.1061635750213119
2015,FRA,22075.0075993006,0.955797,2015,France,53.708,0.6131906352722094,0.006909999999999972,0.014755000000000074,0.4541387822806664
2016,FRA,22243.41154401061,0.979568,2016,France,53.616,0.762871514097907,0.023770999999999987,0.006909999999999972,0.6131906352722094
2017,FRA,22726.543640919503,0.981321,2017,France,54.3,2.1720233694951574,0.0017530000000000046,0.023770999999999987,0.762871514097907
2018,FRA,23071.73251827475,0.977815,2018,France,54.048,1.5188797857221603,-0.003506000000000009,0.0017530000000000046,2.1720233694951574
2019,FRA,23443.58862098411,0.974591,2019,France,52.953,1.6117389641840507,-0.0032240000000000046,-0.003506000000000009,1.5188797857221603
2020,FRA,21525.949965130512,1.150422,2020,France,52.766,-8.179799973700009,0.17583100000000007,-0.0032240000000000046,1.6117389641840507
1980,GBR,12931.49128103136,0.42568,1980,United Kingdom,36.203,-1.7907408795830193,-0.06171783353808702,-0.028863283223773017,2.6461858796240634
1981,GBR,12747.426302481244,0.44778,1981,United Kingdom,37.624,-1.423385551982792,0.02210000000000001,-0.06171783353808702,-1.7907408795830193
1982,GBR,12954.64740105841,0.4305,1982,United Kingdom,38.6,1.6255916579555496,-0.017280000000000018,0.02210000000000001,-1.423385551982792
1983,GBR,13404.466833690942,0.41852,1983,United Kingdom,37.249,3.4722630319971692,-0.01197999999999999,-0.017280000000000018,1.6255916579555496
1984,GBR,13720.057238973992,0.4224199999999999,1984,United Kingdom,37.127,2.3543674597324538,0.0038999999999999035,-0.01197999999999999,3.4722630319971692
1985,GBR,14164.54610577419,0.41305,1985,United Kingdom,36.951,3.239701256767047,-0.009369999999999934,0.0038999999999999035,2.3543674597324538
1986,GBR,14741.815746318509,0.41274,1986,United Kingdom,35.982,4.07545456263505,-0.00030999999999997696,-0.009369999999999934,3.239701256767047
1987,GBR,15393.437392618882,0.39335,1987,United Kingdom,34.822,4.420226500681257,-0.01939000000000002,-0.00030999999999997696,4.07545456263505
1988,GBR,16109.99642527258,0.3707999999999999,1988,United Kingdom,34.555,4.654964413583729,-0.02255000000000007,-0.01939000000000002,4.420226500681257
1989,GBR,16413.722920989137,0.32539,1989,United Kingdom,34.241,1.8853293799623971,-0.045409999999999895,-0.02255000000000007,4.654964413583729
